"gene","correlation","p_value","p_adj"
"list_6_AT4G25470",0.016932612626596,0.81096498988168,0.888835541626964
"list_7_AT1G28240",0.0170233073932786,0.810908435467184,0.888835541626964
"list_7_AT3G28180",0.0161764139437025,0.814431415060748,0.888835541626964
"list_1_AT2G27150",0.0139907820380483,0.838760858822335,0.90604114161557
"list_1_AT1G45249",0.0139060695160903,0.844277256751445,0.907148967360596
"list_7_AT3G25140",0.0132778971962519,0.851597221275382,0.910172691521836
"list_7_AT5G54690",0.0128661170954749,0.856148939395859,0.910221503989282
"list_1_AT1G67080",-0.00935570686243645,0.892536642427005,0.942555445845126
"list_2_AT5G11260",0.0079333542137276,0.909892633365344,0.942555445845126
"list_3_AT5G11190",-0.00834682605036356,0.904295303448745,0.942555445845126
"list_3_AT1G15360",0.00851997380164517,0.901155876941865,0.942555445845126
"list_7_AT3G61130",0.00817014398821643,0.908356914485208,0.942555445845126
"list_1_AT5G17230",-0.00677656126068268,0.921678350311693,0.949892993688581
"list_2_AT3G17609",0.00538007506926468,0.938822995886489,0.957789117015509
"list_7_AT2G15390",0.00558318611253862,0.938094343311937,0.957789117015509
"list_7_AT2G03220",0.00489718965398739,0.945688099527578,0.959944704043069
"list_2_AT2G43010",-0.00271290481323911,0.969433811979036,0.974256865769977
"list_5_AT2G43010",-0.00271290481323911,0.969433811979036,0.974256865769977
"list_7_AT5G22740",0.000239808401149581,0.997223931055664,0.997223931055664
"list_1_AT1G64990",NA,NA,NA
"list_2_AT5G08130",NA,NA,NA
"list_2_AT3G52740",NA,NA,NA
"list_3_AT2G33510",NA,NA,NA
"list_3_AT5G05660",NA,NA,NA
"list_7_AT4G34260",NA,NA,NA
